id,price_val,price_cur,new_build,floor,ax_floors,area,rooms,heating,badges,lat,lon
1151874,610000,AZN,True,10,16,240.0,4,True,"Şah İsmayıl Xətai m.,Xətai r.",40.3835750529501,49.8743249841309
1574714,120000,AZN,True,15,17,88.0,2,True,"Elmlər Akademiyası m.,Yasamal r.,Yasamal q.",40.3767183197981,49.8064541816711
1304324,234000,AZN,True,9,18,156.0,3,True,"Gənclik m.,Respublika stadionu,Nərimanov r.",40.3993135507586,49.8510646820068
1574835,113000,AZN,True,10,16,80.0,2,False,"Qara Qarayev m.,Nizami r.",40.4118813202123,49.9304748137139
1556511,135000,AZN,False,3,5,70.0,3,True,"Elmlər Akademiyası m.,Yasamal r.",40.3777036488414,49.8089246114828
1574827,95000,AZN,True,12,13,56.0,2,True,"Sabunçu r.,Bakıxanov q.",40.4167089754055,49.9658677412922
1574825,126000,AZN,False,2,9,92.0,3,True,"Memar Əcəmi m.,Binəqədi r.",40.4174253486244,49.8094956313262
1449659,467000,AZN,True,10,16,185.0,4,True,"Elmlər Akademiyası m.,Yasamal r.,Yasamal q.",40.3778090772822,49.8118808301511
1187918,395000,AZN,True,5,11,185.0,4,True,"Elmlər Akademiyası m.,Yasamal r.",40.3771695282177,49.8117426963868
1542358,157000,AZN,True,9,17,70.0,2,True,"Elmlər Akademiyası m.,Yasamal r.",40.378294354071,49.8118553517848
1554264,72000,AZN,True,11,15,35.0,1,False,"Neft Akademiyası,Bakı Musiqi Akademiyası,28 May m.,Milli Konservatoriya,Nəsimi r.",40.3790944440251,49.8462795857698
1574819,71000,AZN,False,2,5,60.0,2,True,"Memar Əcəmi m.,Nəsimi r.",40.4106452934809,49.8155292707626
1574811,85000,AZN,True,17,20,80.0,2,False,"Sabunçu r.,Bakıxanov q.",40.4249967110825,49.9502849578857
1574809,60000,AZN,True,5,7,64.0,2,True,"Abşeron r.,Masazır q.",40.4904259615941,49.7498267271847
1574805,59000,AZN,False,5,9,51.0,2,True,Yasamal r.,40.3939424469589,49.7963285677303
1574803,190000,AZN,True,10,17,101.0,3,False,Yasamal r.,40.3848191995348,49.8158196540894
1574801,58500,AZN,True,4,6,65.0,3,False,"Abşeron r.,Masazır q.",40.4729373532636,49.756458116394
1574792,200000,AZN,False,1,5,100.0,4,True,"Elmlər Akademiyası m.,Yasamal r.",40.3774310697829,49.8105410667481
1574791,165000,AZN,True,15,18,87.0,2,True,"Park Zorge,Nəsimi bazarı,Tibb Universiteti,Rusiya səfirliyi,Nəsimi r.",40.39243545118,49.8347854606618
